Experiment,mean_Precision,mean_Recall(TPR),mean_Specificity(TNR),mean_OA,mean_Dice,mean_IoU
globKBY_4Unet,0.876088648455542,0.957042285911804,0.988149726987857,0.985645630780388,0.914777954002117,0.842940813242474
globKBY_5Unet,0.887337540331463,0.954440097397393,0.989391029602743,0.986577538882985,0.919666425598122,0.85128005589134
globKBY_EB1-Unet-IMN,0.906423641002363,0.968574427190988,0.99124608943309,0.989421059103573,0.936468974309045,0.880528119713893
globKBY_EB1-Unet-qubvel,0.905570133665066,0.974019928276047,0.991108207593434,0.989732630112592,0.938548648986219,0.88421259070406
globKBY_EB1-Unet-NoIMN,0.902977163157557,0.960412447576424,0.990965811038674,0.988506317138672,0.930809641073578,0.870574293251397
globKBY_EB2-Unet-IMN,0.909726348854154,0.962328896000268,0.991639967821063,0.989280476289637,0.935288587622051,0.878443282140799
globKBY_EB2-Unet-NoIMN,0.900404947208695,0.948630819556973,0.990813896976398,0.987418230842141,0.923888978630002,0.85854429541461
globALL_4Unet,0.810815285020404,0.94124034523009,0.939060222754339,0.939533768577137,0.871173318487984,0.771751175584442
globALL_5Unet,0.817440288456213,0.939154520890219,0.941800109733497,0.941225459657866,0.874080622778446,0.776326121089972
globALL_EB1-Unet-IMN,0.787711495941837,0.936535774568188,0.929964235340173,0.931391643655711,0.855700929449568,0.747794830452809
globALL_EB1-Unet-qubvel,0.780991001404883,0.930697856490893,0.927579611007119,0.928256927139458,0.84929763676765,0.738068908090146
globALL_EB1-Unet-NoIMN,0.778490971025587,0.916876282646316,0.927608962297886,0.925277709960938,0.842035737143943,0.727169019074135
globALL_EB2-Unet-IMN,0.781346604686634,0.93447336649723,0.927436932366202,0.928965320806394,0.8510771576798,0.740760933920581
globALL_EB2-Unet-NoIMN,0.801352691957954,0.922925754601378,0.93651633966192,0.933564319829831,0.857853369799912,0.751088649317845
